SAPNo,ShortText,Size,BasicMaterial,Manufacturer,PartNo,DrawingNo,KeyNoun,POTextNo,UnitOfMeasure,PO Text Header,,,,
143421,"FLANGE 150 BL RF A182304/L 1""","1""",SS304-304L,COMML,,,FLANGE,854,EA,"FLANGE, BLIND, RAISED FACE, FORGED                                     
STAINLESS STEEL, ASTM A182-F304/F304L.                                 
QUALIFICATIONS:                                                        
1. SIZES NPS 1/2 THRU NPS 24 SHALL BE                                  
   PER ASME/ANSI B16.5.  FLANGE FACING                                 
FINISH SHALL BE 125AA TO 250AA                                         
PER ANSI B16.5.                                                        
2. SIZES NPS 26 THRU NPS 60 SHALL BE                                   
   PER ASME B16.47 SERIES-A.  FLANGE                                   
   FACING FINISH SHALL BE 125AA TO                                     
   250AA WITH CIRCULAR LAY (SPIRAL OR                                  
   CONCENTRIC).",,,,
144444,"FLANGE 1500 BL RF A182316 D&T 1X1/2""","1""X1/2""",SS316,COMML,,,FLANGE,13181,EA,"FLANGE, RAISED FACE, BLIND, FORGED                                     
STAINLESS STEEL ASTM A182/ASME SA182                                   
GRADE F316 (UNS S31600), WITH DRILLED                                  
AND TAPPED HOLE THROUGH CENTER OF FLANGE                               
QUALIFICATIONS:                                                        
1. SIZES NPS 1/2 THRU 24 SHALL BE PER                                  
   ASME/ANSI B16.5, WITH FLANGE FACING                                 
FINISH SHALL BE 125AA TO 250AA                                         
PER ANSI B16.5.                                                        
2. SIZES NPS 26 THRU 60 SHALL BE PER                                   
   ASME B16.47 SERIES-A.  WITH FLANGE                                  
   FACING FINISH TO BE 125AA TO 250AA,                                 
   WITH CIRCULAR LAY (SPIRAL OR                                        
   CONCENTRIC).                                                        
3. FLANGE TO BE DRILLED AND TAPPED (NPT)                               
   THROUGH CENTER OF FLANGE.                                           
4. FIRST SIZE SHOWN IS NOMINAL PIPE SIZE                               
   OF FLANGE, SECOND SIZE IS NOMINAL                                   
   PIPE SIZE OF DRILLED AND TAPPED HOLE.",,,,
26030,"FLANGE 150 BL RF A20 B462 1""","1""",ALLOY-20,COMML,,,FLANGE,1452,EA,"FLANGE, BLIND, UNS N08020 ALLOY, ASTM                                  
B462/ASME SB462 & ANSI B16.5 RAISED                                    
FACE.  GASKET SURFACE FINISH SHALL BE                                  
125AA TO 250AA PER ANSI B16.5.",,,,
118163,"FLANGE 300 BL RF A350-LF1 6""","6""",STEEL-FORGED,COMML,,,FLANGE,232,EA,"FLANGE, FORGED STEEL, BLACK, ASTM A350                                 
LF1/ ASME SA350 LF1 (UNS K03009) & ANSI                                
B16.5. FLANGE FACING FINISH SHALL BE                                   
125AA TO 250AA PER ANSI B16.5.",,,,
118222,"FLANGE 150 BL RF A350-LF2 1""","1""",STEEL-FORGED,COMML,,,FLANGE,235,EA,"FLANGE, BLIND, FORGED STEEL, BLACK, ASTM                               
A350-LF2/ASME SA350-LF2 (UNS K03011) &                                 
ANSI B16.5 RAISED FACE. FLANGE FACING                                  
FINISH SHALL BE 125AA TO 250AA                                         
PER ANSI B16.5.",,,,
244561,"FLANGE 150 BL RF A350-LF2 BK D&T 1X1/2""","1""X1/2""",STEEL-FORGED,COMML,,,FLANGE,13106,EA,"FLANGE, RAISED FACE, BLIND, FORGED STEEL                               
BLACK, ASTM A350-LF2/ASME SA350-LF2 (UNS                               
K03011) WITH DRILLED AND TAPPED HOLE                                   
THROUGH CENTER OF FLANGE.                                              
QUALIFICATIONS:                                                        
1. SIZES NPS 1/2 THRU 24 SHALL BE PER                                  
   ASME/ANSI B16.5, WITH FLANGE FACING                                 
FINISH SHALL BE 125AA TO 250AA                                         
PER ANSI B16.5.                                                        
2. SIZES NPS 26 THRU NPS 60 SHALL BE PER                               
   ASME B16.47 SERIES-A (MSS SP-44),                                   
   WITH FLANGE FACING FINISH TO BE 125AA                               
   TO 250AA, WITH CIRCULAR LAY (SPIRAL                                 
   OR CONCENTRIC).                                                     
3. FLANGE TO BE DRILLED AND TAPPED (NPT)                               
   THROUGH CENTER OF FLANGE.                                           
4. FIRST SIZE SHOWN IS NOMINAL PIPE SIZE                               
   OF FLANGE SECOND SIZE IS NOMINAL PIPE                               
   SIZE OF DRILLED AND TAPPED HOLE.",,,,
118542,"FLANGE 300 BL RF A350-LF2 D&T 1X1/2""","1""X1/2""",STEEL-FORGED,COMML,,,FLANGE,13106,EA,"FLANGE, RAISED FACE, BLIND, FORGED STEEL                               
BLACK, ASTM A350-LF2/ASME SA350-LF2 (UNS                               
K03011) WITH DRILLED AND TAPPED HOLE                                   
THROUGH CENTER OF FLANGE.                                              
QUALIFICATIONS:                                                        
1. SIZES NPS 1/2 THRU 24 SHALL BE PER                                  
   ASME/ANSI B16.5, WITH FLANGE FACING                                 
FINISH SHALL BE 125AA TO 250AA                                         
PER ANSI B16.5.                                                        
2. SIZES NPS 26 THRU NPS 60 SHALL BE PER                               
   ASME B16.47 SERIES-A (MSS SP-44),                                   
   WITH FLANGE FACING FINISH TO BE 125AA                               
   TO 250AA, WITH CIRCULAR LAY (SPIRAL                                 
   OR CONCENTRIC).                                                     
3. FLANGE TO BE DRILLED AND TAPPED (NPT)                               
   THROUGH CENTER OF FLANGE.                                           
4. FIRST SIZE SHOWN IS NOMINAL PIPE SIZE                               
   OF FLANGE SECOND SIZE IS NOMINAL PIPE                               
   SIZE OF DRILLED AND TAPPED HOLE.",,,,
139217,"FLANGE 300 BL RF A350-LF3 1""","1""",ALLOY,COMML,,,FLANGE,432,EA,"FLANGE, BLIND, FORGED CARBON ALLOY,                                    
BLACK, ASTM A350-LF3/ASME SA350-LF3 (UNS                               
K32025) & ANSI B16.5 RAISED FACE. FLANGE                               
FINISH SHALL BE 125AA TO 250AA                                         
PER ANSI B16.5.",,,,
146252,"FLANGE 150 BL RF A600 B564 1""","1""",INCONEL-600,COMML,,,FLANGE,1746,EA,"FLANGE, BLIND, FORGED INCONEL 600                                      
(NICKEL-CHROMIUM-IRON ALLOY), ASTM B564                                
(UNS N06600) & ANSI B16.5 RAISED FACE.                                 
FLANGE FACING FINISH SHALL BE                                          
125AA TO 250AA PER ANSI B16.5.",,,,
1201686,"FLANGE 150 BL RF A600 B564 D&T 2""X1/2""  ","2""X1/2""           ",ALLOY-600     ,COMML          ,                              ,                ,FLANGE,14827,EA,"FLANGE, RAISED FACE, BLIND, FORGED -                                   
INCONEL 600 (NICKEL-CHROMIUM-IRON                                      
ALLOY), ASTM B564 (UNS NO6600 WITH                                     
DRILLED AND TAPPED HOLE THROUGH CENTER                                 
FLANGE.                                                                
QUALIFICATIONS:                                                        
1. SIZES NPS 1/2 THRU 24 SHALL BE PER                                  
   ASME/ANSI B16.5, WITH FLANGE FACING                                 
   FINISH TO BE SERRATED SPIRAL OR                                     
   SERRATED CONCENTRIC PER ASME/ANSI                                   
   B16.5.                                                              
2. SIZES NPS 26 THRU 60 SHALL BE PER                                   
   ASME B16.47 SERIES-A, WITH FLANGE                                   
   FACING FINISH TO BE SERRATED SPIRAL                                 
   OR SERRATED CONCENTRIC PER ASME                                     
   B16.47.                                                             
3. FLANGE TO BE DRILLED AND TAPPED                                     
   (NPT) THROUGH CENTER OF FLANGE.                                     
4. FIRST SIZE SHOWN IS NOMINAL PIPE                                    
   SIZE OF FLANGE, SECOND SIZE IS                                      
   NOMINAL PIPE SIZE OF DRILLED AND                                    
   TAPPED HOLE.",,,,
297860,"FLANGE 600 BL RF A812-304 2-1/2""","2-1/2""",SS304,COMML,,,FLANGE,624,EA,"FLANGE, BLIND, FORGED STAINLESS STEEL,                                 
ASTM A182/ASME SA182 GRADE F304 (UNS                                   
S30400) & ANSI B16.5 RAISED FACE.                                      
FLANGE FACING FINISH SHALL BE                                          
125AA TO 250AA PER ANSI B16.5.",,,,
26037,"FLANGE 150 BL RF B649-N08904 1""","1""",SS904L,COMML,,,FLANGE,1493,EA,"FLANGE, BLIND, RAISED FACE,                                            
NICKEL-IRON-CHROMIUM-MOLYBDENUM-COPPER                                 
LOW CARBON ALLOY PER ASTM B649 (UNS                                    
N08904) & ANSI B16.5.                                                  
FLANGE FACING FINISH SHALL BE                                          
125AA TO 250AA                                                         
PER ANSI B16.5.",,,,
146501,"FLANGE 150 BL RF C276 B564 D&T 1X1/2""","1""X1/2""",HAST-C276,COMML,,,FLANGE,13217,EA,"FLANGE, RAISED FACE, BLIND, FORGED                                     
HASTELLOY C276, ASTM B564 (UNS N10276),                                
WITH DRILLED AND TAPPED HOLE THROUGH                                   
CENTER OF FLANGE.                                                      
QUALIFICATIONS:                                                        
1. SIZES NPS 1/2 THRU 24 SHALL BE PER                                  
   ASME/ANSI B16.5, WITH FLANGE FACING                                 
FINISH SHALL BE 125AA TO 250AA                                         
PER ANSI B16.5.                                                        
2. SIZES NPS 26 THRU 60 SHALL BE PER                                   
   ASME B16.47 SERIES-A, WITH FLANGE                                   
   FACING FINISH TO BE 125AA TO 250AA,                                 
   WITH  CIRCULAR LAY (SPIRAL OR                                       
   CONCENTRIC).                                                        
3. FLANGE TO BE DRILLED AND TAPPED (NPT)                               
   THROUGH CENTER OF FLANGE.                                           
4. FIRST SIZE SHOWN IS NOMINAL PIPE SIZE                               
   OF FLANGE SECOND SIZE IS NOMINAL PIPE                               
   SIZE OF DRILLED AND TAPPED HOLE.",,,,
144788,"FLANGE 150 BL RF CE A182316/L 1/2""","1/2""",SS316-316L,COMML,,,FLANGE,1277,EA,"FLANGE, BLIND, FORGED STAINLESS STEEL,                                 
ASTM A182/ASME SA182 DUAL MARKED F316/                                 
F316L & ANSI B16.5 RAISED FACE. FLANGE                                 
FINISH SHALL BE 125AA TO 250AA                                         
PER ANSI B16.5.                                                        
QUALIFICATIONS:                                                        
1. CORROSION EVALUATED PER DUPONT SPEC.                                
   SW800M.",,,,
1120699,"FLANGE 600 BL RF CHR-MLY A182-F11 3-1/2""","3-1/2""",CHROME-MOLY,COMML,,,FLANGE,1701,EA,"FLANGE, WELD NECK, FORGED CHROMIUM                                     
MOLYBDENUM STEEL, ASTM A182/ASME SA182                                 
GRADE F11 (UNS K11572) (1 1/4 CHROME,                                  
1/2 MOLY) & ANSI B16.5. FLANGE FACING                                  
FINISH SHALL BE 125AA TO 250AA                                         
PER ANSI B16.5.",,,,
1134071,"FLANGE 300 BL RF CHROME-MOLY A182-F5 2""","2""",CHROME-MOLY,COMML,,,FLANGE,50737,EA,"FLANGE, BLIND, FORGED CHROMIUM                                         
MOLYBDENUM STEEL, ASTM A182/ASME SA182                                 
GRADE F5 (UNS K42544) (5 CHROME,                                       
1/2 MOLY) & ANSI B16.5. FLANGE FACING                                  
FINISH SHALL BE 125AA TO 250AA                                         
PER ANSI B16.5.",,,,
1025533,"FLANGE 150 BL RF CU-NI B122-C71500 2""","2""",COPPER-NICKL,COMML,,,FLANGE,14564,EA,"FLANGE, BLIND, COPPER-NICKEL PLATE                                     
(70-30), ASTM B122 (UNS C71500) & ANSI                                 
B16.5. FLANGE FACING FINISH SHALL BE                                   
125AA TO 250AA                                                         
PER ANSI B16.5.                                                        
QUALIFICATIONS:                                                        
1. MILL TEST REPORTS REQUIRED.",,,,
1145223,"FLANGE 150 BL RF HAST-B2 B333 1""","1""",HASTELLOY-B2,COMML,,,FLANGE,13218,EA,"FLANGE, BLIND FORGED HASTELLOY-B2,                                     
(NICKEL-MOLYBDENUM ALLOY) (UNS N10665)                                 
ASTM B333 & ANSI B16.5.                                                
FLANGE FACING FINISH SHALL BE SERRATED-                                
CONCENTRIC OR SERRATED-SPIRAL PER ANSI                                 
B16.5.                                                                 
QUALIFICATIONS:                                                        
1. CERTIFICATION REQUIRED.",,,,
342354,"FLANGE 150 BL RF INCOLOY 800 B564 2""","2""",INCOLOY,COMML,,,FLANGE,1778,EA,"FLANGE, BLIND, FORGED INCOLOY 800                                      
(NICKEL-IRON- CHROMIUM ALLOY), ASTM B564                               
(UNS N08800) & ANSI B16.5 RAISED FACE.                                 
FLANGE FACING FINISH SHALL BE                                          
125AA TO 250AA                                                         
PER ANSI B16.5.",,,,
146147,"FLANGE 150 BL RF MON B564 1""","1""",MONEL,COMML,,,FLANGE,1612,EA,"FLANGE, BLIND, FORGED MONEL, ASTM                                      
B564/ASME SA564 (UNS N04400) & ANSI                                    
B16.5 RAISED FACE. FLANGE FACING FINISH                                
SHALL BE 125AA TO 250AA                                                
PER ANSI B16.5.",,,,
146279,"FLANGE 300 BL RF MON B564 D&T 1X1/2""","1""X1/2""",MONEL,COMML,,,FLANGE,13211,EA,"FLANGE, RAISED FACE, BLIND, FORGED MONEL                               
ASTM B564/ASME SB564 (UNS N04400), WITH                                
DRILLED AND TAPPED HOLE THROUGH CENTER                                 
OF FLANGE.                                                             
QUALIFICATIONS:                                                        
1. SIZES 1/2 THRU 24 SHALL BE PER ASME/                                
   ANSI  B16.5, WITH FLANGE FACING                                     
FINISH SHALL BE 125AA TO 250AA                                         
PER ANSI B16.5.                                                        
2. SIZES NPS 26 THRU 60 SHALL BE PER                                   
   ASME B16.47 SERIES-A, WITH FLANGE                                   
   FACING FINISH TO BE 125AA TO 250AA,                                 
   WITH CIRCULAR LAY (CIRCULAR OR                                      
   CONCENTRIC).                                                        
3. FLANGE TO BE DRILLED AND TAPPED (NPT)                               
   THROUGH CENTER OF FLANGE.                                           
4. FIRST SIZE SHOWN IS NOMINAL PIPE SIZE                               
   OF FLANGE SECOND SIZE IS NOMINAL PIPE                               
   SIZE OF DRILLED AND TAPPED HOLE.",,,,
144850,"FLANGE 150 BL RF SS A351-CG8M 2""","2""",SS,COMML,,,FLANGE,13188,EA,"FLANGE, BLIND, FORGED STAINLESS STEEL,                                 
ASTM A351 GRADE CG8M & ANSI B16.5 RAISED                               
FACE.  FLANGE FACING FINISH SHALL BE                                   
SERRATED SPIRAL OR SERRATED CONCENTRIC                                 
PER ANSI B16.5.",,,,
146401,"FLANGE 150 BL RF TI B381-F2 1""","1""",TITANIUM,COMML,,,FLANGE,13215,EA,"FLANGE, BLIND, FORGED TITANIUM, ASTM                                   
B381 GRADE F2 (UNS R50400) & ANSI B16.5.                               
FLANGE FACING FINISH SHALL BE                                          
125AA TO 250AA PER ANSI B16.5.                                         
QUALIFICATIONS:                                                        
1. MILL TEST REPORTS REQUIRED.",,,,
1117415,"FLANGE 150 BL RF TI B381-F2 D&T 4X1""","4""X1""",TITANIUM,COMML,,,FLANGE,50579,EA,"FLANGE, BLIND, FORGED TITANIUM, ASTM                                   
B381 GRADE F2 (UNS R50400) & ANSI B16.5                                
WITH DRILLED AND TAPPED NPT HOLE THROUGH                               
CENTER OF FLANGE. FLANGE FACING FINISH                                 
SHALL BE 125AA TO 250AA                                                
PER ANSI B16.5.                                                        
QUALIFICATIONS:                                                        
1. FIRST SIZE SHOWN IS NOMINAL PIPE SIZE                               
   OF FLANGE.  SECOND SIZE IS NOMINAL                                  
   PIPE SIZE OF DRILLED AND TAPPED HOLE.                               
2. MILL TEST REPORTS REQUIRED.",,,,
1122121,FLANGE BL W/TAP FIBERCST CL22SX4X3/4,"4""X3/4""",FIBERGLASS,SMITH-FC,CL22SX4X3/4,,FLANGE,7999,EA,SMITH FIBERCAST,,,,
1160403,FLANGE BL/TAP S3493 P417 COMP-USA 011015,"2""",FIBERGLASS,COMP-USA,11015,,FLANGE,24116,EA,COMPOSITES USA,,,,
49660,FLANGE BLIND AMERCOAT BONSTRAND BC-6-BON,"6""",FIBERGLASS,AMERCOAT,BC-6-BON,,FLANGE,10717,EA,"AMERCOAT MEXICANA, S.A.",,,,
1167782,FLANGE BLIND ANSIMAG KP0165,NA,COMML,ANSIMAG,KP0165,,FLANGE,17527,EA,"ANSIMAG INC., A UNIT OF SUNDYNE",,,,
198420,FLANGE BRNG CONVEY-IN E5266-98-101B-08,"1-7/16""",NA,CONVEY-IN,E5266-98-101B-08,,FLANGE,17557,EA,CONVEYING INDUSTRIES INC.,,,,
146089,"FLANGE 300 SJ BRZ B16.24 3""","3""",BRONZE,COMML,,,FLANGE,1545,EA,"FLANGE, BRONZE, SOLDER JOINT, CLASS 300,                               
ASTM B61 OR B62, FLAT FACE STANDARD                                    
FINISH. FLANGE TO BE IN ACCORD WITH AND                                
MADE TO ANSI B16.24 DIMENSIONS, HAVING                                 
FEMALE SOLDER JOINT ENDS PER ANSI                                      
B16.18.",,,,
1200260,"FLANGE 150 BU CS FF A105 BLK 12""","12""",STEEL-FORGED,COMML,,,FLANGE,52239,EA,"FLANGE, FORGED-STEEL,FLAT FACE, BACK-UP,                               
PER DUPONT SPEC. SP8C CLASS 3,                                         
ASTM A105/ASME SA105 (UNS K03504),& ANSI                               
B16.5. STANDARD FINISH.",,,,
139133,"FLANGE 150 BU DI SP8C CLS 1 GLV 1""","1""",IRON-DUCTILE,COMML,,,FLANGE,416,EA,"FLANGE, DUCTILE IRON, BACK-UP, PER                                     
DUPONT SPEC. SP8C CLASS 1, ASTM A395                                   
(UNS F32800) AND ANSI B16.5.                                           
QUALIFICATIONS:                                                        
1. HOT DIP GALVANIZE PER ASTM A153.",,,,
69744,FLANGE BUSHING WER-PFLE 50963-68-21,NA,NA,COPERION,50963-68-21,,FLANGE,10826,EA,COPERION CORPORATION,,,,
1210242,FLANGE CHAMFER RESISTOFLEX 0572867-024-3,"1-1/2""",STEEL-FORGED,CRANE-CO,0572867-024-3,,FLANGE,8926,EA,CRANE COMPANY,,,,
1220096,FLANGE CHAMFER RESISTOFLEX 0572867-096-3,"6""",STEEL,CRANE-CO,0572867-096-3,,FLANGE,8926,EA,CRANE COMPANY,,,,
1220122,FLANGE CHAMFER RESISTOFLEX 0572883-032,"2""",STEEL,CRANE-CO,0572883-032,,FLANGE,8926,EA,CRANE COMPANY,,,,
1239460,FLANGE COMPANION DANA-COR 9-1-333-6,"4""1""X1/2""",STEEL,DANA-COR,9-1-333-6,,FLANGE,10008,EA,DANA CORPORATION,,,,
1177763,FLANGE CONICAL STYLE 2 CORNING 72-9655,"3""",IRON-BC,CORNING-IN,72-9655,,FLANGE,10028,EA,CORNING INCORPORATED,,,,
51175,FLANGE COUPLING DODGE 010608 PX120,PX120,NA,REL-ELEC,10608,,FLANGE,9333,EA,RELIANCE ELECTRIC COMPANY,,,,
295963,"FLANGE COUPLING TYPE S WOODS 9S 1-5/8""","1-5/8""",NA,WOODS-TB,9S,,FLANGE,9400,EA,T.B. WOOD'S AND SONS CO.,,,,
30907,FLANGE COUPLING TYPE SC WOODS 10SC50 RSB,RSB,NA,WOODS-TB,10SC50,,FLANGE,9400,EA,T.B. WOOD'S AND SONS CO.,,,,
27711,"FLANGE 150 S80 SW CPVC F439 23447B 3""","3""",CPVC,COMML,,,FLANGE,4851,EA,"CPVC FITTINGS ASTM F439 CLASS 23447-B,                                 
SCH. 80, SOCKET TYPE ENDS, FITTINGS                                    
SHALL BE MARKED CPVC.",,,,
248444,FLANGE CROSSHEAD COOPER-E 8-036350-001,NA,NA,COOPER-E,8-036350-001,,FLANGE,15969,EA,COOPER ENERGY SERVICES,,,,
39233,FLANGE DISCHARGE COOPER-IN 542030,"2""X7-1/2""",NA,COOPER-IN,542030,D35788A,FLANGE,7768,EA,"COOPER INDUSTRIES INCORPORATED (SEE                                    
COUNTRY DIRECTORY FOR LOCAL SUBSIDIARY)",,,,
1167972,FLANGE DISCHARGE ORION 712020,NA,COMML,METSO-C,712020,,FLANGE,10004,EA,METSO corporation.,,,,
221200,FLANGE DISCHARGE WARREN 334-006-156,NA,NA,WARREN-R,334-006-156,,FLANGE,10743,EA,"WARREN RUPP INCORPORATED, A UNIT OF                                    
IDEX CORPORATION",,,,
234059,FLANGE DRIVE MNTG DME-CORP 765-005-01-B ,NA                ,ALUMINUM      ,DME-CORP       ,765-005-01-B                  ,                ,FLANGE,10381,EA,D M & E CORPORATION,,,,
294044,FLANGE ELEM W/SET SCR COPES-VN S0043302,"2-1/2"" 300",NA,COPES-VN,S0043302,,FLANGE,10619,EA,COPES-VULCAN,,,,
20692,"FLANGE 150 BL FF A105 BLK 8""","8""",STEEL-FORGED,COMML,,,FLANGE,182,EA,"FLANGE, FLAT FACE, BLIND, FORGED STEEL,                                
BLACK, ASTM A105/ASME SA105 (UNS                                       
K03504).                                                               
QUALIFICATIONS:                                                        
1. SIZES NPS 1/2 THRU NPS 24 SHALL BE                                  
   PER ASME/ANSI B16.5, WITH FLANGE                                    
FINISH SHALL BE 125AA TO 250AA                                         
PER ANSI B16.5.                                                        
2. SIZES NPS 26 THRU NPS 60 SHALL BE PER                               
   ASME B16.47 SERIES-A (MSS SP-44),                                   
   WITH FLANGE FACING FINISH TO BE 125AA                               
   TO 250AA, WITH CIRCULAR LAY (SPIRAL                                 
   OR CONCENTRIC).                                                     
3. CLASS 400 AND HIGHER PRESSURE TO BE                                 
   NORMALIZED.",,,,
116305,"FLANGE 150 SO FF A105 BLK 30""","30""",STEEL-FORGED,COMML,,,FLANGE,209,EA,"FLANGE, SLIP-ON, FORGED STEEL, BLACK,                                  
ASTM A105/ ASME SA105 (UNS K03504) &                                   
ANSI B16.5 FLAT FACE. FLANGE FACING                                    
FINISH SHALL BE 125AA TO 250AA                                         
PER ANSI B16.5.                                                        
QUALIFICATIONS:                                                        
1. CLASS 400 & HIGHER PRESSURE TO BE                                   
   NORMALIZED.                                                         
2. PROTECT GASKET SURFACE WITH                                         
   WATERPROOF TAPE.",,,,
116829,"FLANGE 125 SO FF A105 W/RAD TYLR FG 30""","30""",STEEL-FORGED,COMML,,,FLANGE,206,EA,"FLANGE, SLIP-ON, FORGED STEEL, BLACK,                                  
ASTM A105 (UNS K03504) WITH DRILLING PER                               
ANSI B16.1 FLAT FACE.                                                  
FLANGE FACING FINISH SHALL BE                                          
125AA TO 250AA                                                         
PER ANSI B16.5.                                                        
QUALIFICATIONS:                                                        
1. TAYLOR FORGE CLASS 125 ONLY, DO NOT                                 
   SUBSTITUTE.                                                         
2. THE CORNER BETWEEN THE BORE AND THE                                 
   FACE SHALL BE MACHINED TO A 1/2 INCH                                
   RADIUS.",,,,
142599,"FLANGE 150 BL FF A182304 8""","8""",SS304,COMML,,,FLANGE,621,EA,"FLANGE, BLIND, FORGED STAINLESS STEEL,                                 
ASTM A182/ASME SA182 GRADE F304 (UNS                                   
S30400) & ANSI B16.5 FLAT FACE. FLANGE                                 
FACING FINISH SHALL BE                                                 
125AA TO 250AA                                                         
PER ANSI B16.5.",,,,
1233852,"FLANGE 150 BL FF A182316 8""","8""",SS316,COMML,,,FLANGE,1079,EA,"FLANGE, BLIND, FORGED STAINLESS STEEL,                                 
ASTM A182/ASME SA182 GRADE F316 (UNS                                   
S31600) & ANSI B16.5 FLAT FACE. FLANGE                                 
FACING FINISH SHALL BE                                                 
125AA TO 250AA                                                         
PER ANSI B16.5.",,,,
132426,"FLANGE 150 BL FF DI A395 BLK 8""","8""",IRON-DUCTILE,COMML,,,FLANGE,274,EA,"FLANGE, DUCTILE IRON ASTM A395 (UNS                                    
F32800) & ANSI B16.42, FLAT FACE,                                      
STANDARD FINISH, BLACK.",,,,
138672,"FLANGE FLOOR TH MI A197 GLV 1""","1""",IRON-GM,COMML,,,FLANGE,413,EA,"FITTING, THREADED, FLOOR FLANGE,                                       
GALVANIZED MALLEABLE IRON ASTM A197, HOT                               
DIP GALVANIZE PER ASTM A153.",,,,
66289,FLANGE FOLLOWER DURCO BY36126A-DMM,NA,NA,DURIRON,BY36126A-DMM,,FLANGE,9403,EA,"DURIRON COMPANY, INCORPORATED",,,,
143287,"FLANGE 150 LJ A182304 1""","1""",SS304,COMML,,,FLANGE,646,EA,"FLANGE, LAP JOINT, FORGED STAINLESS                                    
STEEL, ASTM A182/ASME SA182 GRADE F304                                 
(UNS S30400) & ANSI B16.5 FLAT FACE.                                   
STANDARD FINISH.",,,,
144648,"FLANGE 150 LJ A182316/L 1""","1""",SS316-316L,COMML,,,FLANGE,1265,EA,"FLANGE, LAP JOINT, FORGED STAINLESS                                    
STEEL, ASTM A182/ASME SA182 DUAL MARKED                                
F316/F316L & ANSI B16.5 FLAT FACE.                                     
STANDARD FINISH.",,,,
1022648,"FLANGE 150 LJ DI FF A395 GLV 1""","1""",IRON-DUCTILE,COMML,,,FLANGE,417,EA,"FLANGE, DUCTILE IRON ASTM A395 (UNS                                    
F32800) & ANSI B16.42, FLAT FACE,                                      
STANDARD FINISH.                                                       
QUALIFICATIONS:                                                        
1. HOT DIP GALVANIZE PER ASTM A153.",,,,
139161,"FLANGE 150 LJ BU DI SP8C CL-3 GLV 8""","8""",IRON-DUCTILE,COMML,,,FLANGE,418,EA,"FLANGE, DUCTILE IRON, LAP-JOINT BACK-UP,                               
PER DUPONT SPEC. SP8C CLASS 3, ASTM A395                               
(UNS F32800) AND ANSI B16.5.                                           
QUALIFICATIONS:                                                        
1. HOT DIP GALVANIZE PER ASTM A153.",,,,
13576,"FLANGE 150 LJ FS A105 BLK 8""","8""",STEEL-FORGED,COMML,,,FLANGE,219,EA,"FLANGE, LAP JOINT, FORGED STEEL, BLACK,                                
ASTM A105/ ASME SA105 (UNS K03504) &                                   
ANSI B16.5 FLAT FACE, STANDARD FINISH.                                 
QUALIFICATIONS:                                                        
1. CLASS 400 & HIGHER PRESSURE TO BE                                   
   NORMALIZED.",,,,
1203391,"FLANGE 175 LJ FS A105 GLV TYLR FG 30""   ","30""               ",STEEL-FG      ,COMML          ,                              ,                ,FLANGE,52285,EA,"FLANGE, LAP JOINT, FORGED STEEL,GLAVANIZED                             
ASTM A105/ ASME SA105 (UNS K03504),                                    
CLASS 175, FLANGE FACING                                               
FINISH SHALL BE 125AA TO 250AA                                         
PER ANSI B16.5.                                                        
QUALIFICATIONS:                                                        
1. TAYLOR FORGE CLASS 175 ONLY, DO NOT                                 
   SUBSTITUTE.                                                         
2. HOT DIP GALVANIZE PER ASTM A153.",,,,
118020,"FLANGE 600 LJ FS A105N BLK 1""","1""",STEEL-FORGED,COMML,,,FLANGE,219,EA,"FLANGE, LAP JOINT, FORGED STEEL, BLACK,                                
ASTM A105/ ASME SA105 (UNS K03504) &                                   
ANSI B16.5 FLAT FACE, STANDARD FINISH.                                 
QUALIFICATIONS:                                                        
1. CLASS 400 & HIGHER PRESSURE TO BE                                   
   NORMALIZED.",,,,
1030904,"FLANGE 150 LJ FS A105N C=0.22MAX BLK 1""","1""",STEEL-FORGED,COMML,,,FLANGE,14652,EA,"FLANGE, LAP JOINT, FORGED STEEL, BLACK,                                
ASTM A105-N/ASME SA105-N (UNS K03504) &                                
ANSI B16.5 FLAT FACE, STANDARD FINISH.                                 
QUALIFICATIONS:                                                        
1. CARBON CONTENT NOT TO EXCEED 0.22                                   
   PERCENT.                                                            
2. FLANGE TO BE NORMALIZED.                                            
3. CERTIFICATION IS REQUIRED.",,,,
118614,"FLANGE 150 LJ FS A350-LF2 BLK 1""","1""",STEEL-FORGED,COMML,,,FLANGE,13107,EA,"FLANGE, LAP JOINT, FORGED STEEL, BLACK,                                
ASTM A350-LF2/ASME A350-LF2 (UNS K03011)                               
& ANSI B16.5 FLAT FACE, STANDARD FINISH.",,,,
1150595,FLANGE LJ PN10 DIN 2642 SS304 114.3X2MM,114.3MMX2MM,SS304,COMML,,,FLANGE,50903,EA,"FLANGE, LAP JOINT, STAINLESS STEEL GRADE                               
WNR 1.4301 (SS304), PER DIN 2642,                                      
NOMINAL PRESSURE 10, IN ACCORDANCE WITH                                
DIN EN 10204/3.1B.",,,,
1182820,FLANGE LJ PN10 DIN 2642 SS321 DN20,DN20,SS321,COMML,,,FLANGE,52014,EA,"FLANGE, LAP JOINT, STAINLESS STEEL GRADE                               
WNR 1.4541 (SS321), PER DIN 2642,                                      
NOMINAL PRESSURE 10, IN ACCORDANCE WITH                                
DIN EN 1092-1.",,,,
